ens_id	chr	start	end	strand	cpg_den	cpg_sum
ENSMUSG00000029027	chr4	153967287	153972287	-	0.0134	67
ENSMUSG00000029028	chr4	154014122	154019122	+	0.0192	96
ENSMUSG00000029029	chr4	154152396	154157396	+	0.0192	96
ENSMUSG00000029030	chr4	154156575	154161575	-	0.0356	178
ENSMUSG00000029032	chr4	154287581	154292581	-	0.0136	68
ENSMUSG00000029033	chr4	155897036	155902036	+	0.0094	47
ENSMUSG00000029034	chr4	155876824	155881824	+	0.0084	42
ENSMUSG00000029036	chr4	155748367	155753367	-	0.0136	68
ENSMUSG00000029038	chr4	155716839	155721839	+	0.012	60
ENSMUSG00000029047	chr4	155067224	155072224	+	0.0194	97
ENSMUSG00000029048	chr4	155077746	155082746	-	0.0118	59
ENSMUSG00000029049	chr4	155113541	155118541	+	0.0162	81
ENSMUSG00000029050	chr4	155185833	155190833	-	0.0112	56
ENSMUSG00000029053	chr4	155308245	155313245	-	0.0194	97
ENSMUSG00000029054	chr4	155389046	155394046	-	0.0096	48
ENSMUSG00000029055	chr4	155017449	155022449	-	0.0154	77
ENSMUSG00000029056	chr4	154970030	154975030	+	0.023	115
ENSMUSG00000029059	chr4	154894819	154899819	-	0.0236	118
ENSMUSG00000029060	chr4	155659437	155664437	-	0.019	95
ENSMUSG00000029061	chr4	155649519	155654519	-	0.0314	157
ENSMUSG00000029062	chr4	155634896	155639896	+	0.006	30
ENSMUSG00000029063	chr4	155574189	155579189	+	0.0148	74
ENSMUSG00000029064	chr4	155522815	155527815	+	0.0074	37
ENSMUSG00000029066	chr4	155803926	155808926	+	0.0076	38
ENSMUSG00000029068	chr4	155816016	155821016	+	0.01	50
ENSMUSG00000029070	chr4	155839384	155844384	+	0.0256	128
ENSMUSG00000029071	chr4	155850852	155855852	+	0.0182	91
ENSMUSG00000029072	chr4	155858815	155863815	-	0.0162	81
ENSMUSG00000029073	chr4	155864581	155869581	-	0.018	90
ENSMUSG00000029074	chr4	156044627	156049627	-	0.017	85
ENSMUSG00000029075	chr4	156012727	156017727	+	0.0136	68
ENSMUSG00000029076	chr4	156000741	156005741	+	0.0088	44
ENSMUSG00000029082	chr5	43828935	43833935	+	0.0164	82
ENSMUSG00000029084	chr5	43887964	43892964	+	0.0072	36
ENSMUSG00000029086	chr5	44045326	44050326	-	0.0106	53
ENSMUSG00000029088	chr5	48954704	48959704	-	0.0054	27
ENSMUSG00000029089	chr5	48368623	48373623	+	0.015	75
ENSMUSG00000029090	chr5	50006981	50011981	-	0.0066	33
ENSMUSG00000029093	chr5	36205159	36210159	-	0.012	60
ENSMUSG00000029094	chr5	35946121	35951121	+	0.0124	62
ENSMUSG00000029095	chr5	35818926	35823926	+	0.01	50
ENSMUSG00000029096	chr5	35663402	35668402	-	0.014	70
ENSMUSG00000029097	chr5	35563136	35568136	-	0.013	65
ENSMUSG00000029098	chr5	35596696	35601696	+	0.0196	98
ENSMUSG00000029101	chr5	34992044	34997044	+	0.0084	42
ENSMUSG00000029102	chr5	35042485	35047485	+	0.0154	77
ENSMUSG00000029103	chr5	35096133	35101133	-	0.012	60
ENSMUSG00000029104	chr5	34834637	34839637	+	0.0058	29
ENSMUSG00000029106	chr5	34600486	34605486	+	0.0094	47
ENSMUSG00000029108	chr5	57923098	57928098	+	0.002	10
ENSMUSG00000029110	chr5	34343459	34348459	+	0.007	35
ENSMUSG00000029111	chr5	33914664	33919664	-	0.0052	26
ENSMUSG00000029112	chr5	33429855	33434855	-	0.0756	378
ENSMUSG00000029119	chr5	36816287	36821287	-	0.0154	77
ENSMUSG00000029120	chr5	36909295	36914295	+	0.0158	79
ENSMUSG00000029121	chr5	37264536	37269536	+	0.0106	53
ENSMUSG00000029122	chr5	37310496	37315496	-	0.012	60
ENSMUSG00000029123	chr5	37579498	37584498	-	0.0088	44
ENSMUSG00000029125	chr5	38085753	38090753	+	0.006	30
ENSMUSG00000029126	chr5	38146049	38151049	-	0.0118	59
ENSMUSG00000029127	chr5	38202596	38207596	-	0.0154	77
ENSMUSG00000029128	chr5	41664066	41669066	-	0.0068	34
ENSMUSG00000029130	chr5	29209724	29214724	+	0.0032	16
ENSMUSG00000029131	chr5	29774411	29779411	+	0.0084	42
ENSMUSG00000029134	chr5	32297114	32302114	+	0.0054	27
ENSMUSG00000029135	chr5	32144321	32149321	+	0.0114	57
ENSMUSG00000029136	chr5	31658533	31663533	-	0.0078	39
ENSMUSG00000029138	chr5	31484608	31489608	+	0.0114	57
ENSMUSG00000029141	chr5	31539463	31544463	+	0.0082	41
ENSMUSG00000029145	chr5	31187994	31192994	-	0.021	105
ENSMUSG00000029146	chr5	31193685	31198685	+	0.02	100
ENSMUSG00000029147	chr5	31209175	31214175	-	0.007	35
ENSMUSG00000029148	chr5	31243715	31248715	+	0.0078	39
ENSMUSG00000029149	chr5	31249946	31254946	+	0.0264	132
ENSMUSG00000029151	chr5	31094671	31099671	-	0.0204	102
ENSMUSG00000029152	chr5	73300926	73305926	+	0.0088	44
ENSMUSG00000029153	chr5	73329113	73334113	-	0.008	40
ENSMUSG00000029154	chr5	73427255	73432255	+	0.0112	56
ENSMUSG00000029155	chr5	73662945	73667945	+	0.0134	67
ENSMUSG00000029156	chr5	73637769	73642769	-	0.0154	77
ENSMUSG00000029158	chr5	69527159	69532159	-	0.013	65
ENSMUSG00000029161	chr5	30936867	30941867	-	0.006	30
ENSMUSG00000029162	chr5	30923839	30928839	+	0.0124	62
ENSMUSG00000029163	chr5	30914839	30919839	+	0.022	110
ENSMUSG00000029165	chr5	30895329	30900329	+	0.0124	62
ENSMUSG00000029166	chr5	30837873	30842873	+	0.0074	37
ENSMUSG00000029167	chr5	51508488	51513488	-	0.0082	41
ENSMUSG00000029168	chr5	30752969	30757969	+	0.0118	59
ENSMUSG00000029169	chr5	52167858	52172858	-	0.0056	28
ENSMUSG00000029171	chr5	64108150	64113150	+	0.0132	66
ENSMUSG00000029173	chr5	52652397	52657397	-	0.0112	56
ENSMUSG00000029174	chr5	64251395	64256395	+	0.0128	64
ENSMUSG00000029175	chr5	30651331	30656331	+	0.011	55
ENSMUSG00000029176	chr5	52848404	52853404	+	0.0076	38
ENSMUSG00000029177	chr5	30668303	30673303	+	0.009	45
ENSMUSG00000029178	chr5	64815644	64820644	+	0.02	100
ENSMUSG00000029179	chr5	52797537	52802537	+	0.0106	53
ENSMUSG00000029182	chr5	30472567	30477567	+	0.0118	59
ENSMUSG00000029184	chr17	37462753	37467753	+	0.0044	22
ENSMUSG00000029185	chr5	65003478	65008478	+	0.0114	57
ENSMUSG00000029186	chr5	52752957	52757957	+	0.0078	39
ENSMUSG00000029188	chr5	53052372	53057372	+	0.0082	41
ENSMUSG00000029189	chr5	53158005	53163005	-	0.0118	59
ENSMUSG00000029190	chr5	36645754	36650754	-	0	0
ENSMUSG00000029191	chr5	65296260	65301260	-	0.0104	52
ENSMUSG00000029192	chr5	36539440	36544440	-	0.0102	51
ENSMUSG00000029193	chr5	53700240	53705240	-	0.019	95
ENSMUSG00000029195	chr5	65363660	65368660	+	0.0096	48
ENSMUSG00000029196	chr5	36476477	36481477	-	0.0084	42
ENSMUSG00000029198	chr5	36467039	36472039	+	0.0078	39
ENSMUSG00000029199	chr5	65398595	65403595	+	0.013	65
ENSMUSG00000029201	chr5	65422085	65427085	-	0.0138	69
ENSMUSG00000029202	chr5	65649497	65654497	-	0.0068	34
ENSMUSG00000029203	chr5	65565610	65570610	+	0.0086	43
ENSMUSG00000029204	chr5	65876456	65881456	+	0.0118	59
ENSMUSG00000029205	chr5	65953623	65958623	+	0.0178	89
ENSMUSG00000029206	chr5	66276461	66281461	+	0.0124	62
ENSMUSG00000029207	chr5	66456243	66461243	-	0.0108	54
ENSMUSG00000029208	chr5	69563948	69568948	+	0.0088	44
ENSMUSG00000029209	chr5	69580224	69585224	-	0.0088	44
ENSMUSG00000029211	chr5	71611528	71616528	-	0.0046	23
ENSMUSG00000029212	chr5	71901075	71906075	+	0.0056	28
ENSMUSG00000029213	chr5	72159882	72164882	-	0.0098	49
ENSMUSG00000029217	chr5	72809599	72814599	-	0.011	55
ENSMUSG00000029219	chr5	73007419	73012419	+	0.0188	94
ENSMUSG00000029221	chr5	67330199	67335199	+	0.0094	47
ENSMUSG00000029223	chr5	66679162	66684162	+	0.0146	73
ENSMUSG00000029227	chr5	74564624	74569624	+	0.006	30
ENSMUSG00000029228	chr5	74645179	74650179	-	0.012	60
ENSMUSG00000029229	chr5	75018881	75023881	-	0.0076	38
ENSMUSG00000029231	chr5	75172753	75177753	+	0.017	85
ENSMUSG00000029233	chr5	76145387	76150387	+	0.015	75
ENSMUSG00000029234	chr5	76194062	76199062	+	0.0088	44
ENSMUSG00000029235	chr5	76319135	76324135	-	0.0074	37
ENSMUSG00000029236	chr5	76346141	76351141	-	0.0076	38
ENSMUSG00000029238	chr5	76254830	76259830	-	0.0024	12
ENSMUSG00000029245	chr5	84233571	84238571	-	0.0084	42
ENSMUSG00000029246	chr5	76929913	76934913	-	0.0348	174
ENSMUSG00000029247	chr5	76956908	76961908	+	0.0096	48
ENSMUSG00000029248	chr5	77036276	77041276	+	0.0162	81
ENSMUSG00000029249	chr5	77273461	77278461	+	0.0112	56
ENSMUSG00000029250	chr5	77327235	77332235	+	0.008	40
ENSMUSG00000029253	chr5	86036303	86041303	-	0.0086	43
ENSMUSG00000029254	chr5	86086435	86091435	+	0.0074	37
ENSMUSG00000029255	chr5	86186827	86191827	-	0.0162	81
ENSMUSG00000029260	chr5	86895852	86900852	-	0.0042	21
ENSMUSG00000029263	chr5	108328482	108333482	+	0.007	35
ENSMUSG00000029265	chr5	108272211	108277211	+	0.0056	28
ENSMUSG00000029267	chr5	108084839	108089839	+	0.0044	22
ENSMUSG00000029268	chr5	87468375	87473375	-	0.0036	18
ENSMUSG00000029269	chr5	87523267	87528267	-	0.0026	13
ENSMUSG00000029270	chr5	107945069	107950069	-	0.0046	23
ENSMUSG00000029272	chr5	87581281	87586281	-	0.0054	27
ENSMUSG00000029273	chr5	87559336	87564336	-	0.0034	17
ENSMUSG00000029275	chr5	107718846	107723846	-	0.0364	182
ENSMUSG00000029276	chr5	107570927	107575927	-	0.0096	48
ENSMUSG00000029279	chr5	107356608	107361608	+	0.0166	83
ENSMUSG00000029280	chr5	88003041	88008041	+	0.0024	12
ENSMUSG00000029281	chr5	88095304	88100304	+	0.003	15
ENSMUSG00000029282	chr5	88378512	88383512	+	0.0072	36
ENSMUSG00000029283	chr5	106971877	106976877	+	0.0122	61
ENSMUSG00000029286	chr5	88494512	88499512	+	0.0074	37
ENSMUSG00000029287	chr5	107195599	107200599	-	0.0116	58
ENSMUSG00000029288	chr5	88459761	88464761	+	0.0046	23
ENSMUSG00000029290	chr5	105893691	105898691	+	0.0074	37
ENSMUSG00000029291	chr5	88605716	88610716	+	0.0084	42
ENSMUSG00000029298	chr5	105106084	105111084	-	0.0048	24
ENSMUSG00000029299	chr5	104956387	104961387	-	0.004	20
ENSMUSG00000029304	chr5	104435584	104440584	+	0.01	50
ENSMUSG00000029306	chr5	104302820	104307820	+	0.0082	41
ENSMUSG00000029307	chr5	104205857	104210857	+	0.0106	53
ENSMUSG00000029309	chr5	104093922	104098922	-	0.0118	59
ENSMUSG00000029310	chr5	104053342	104058342	+	0.0154	77
ENSMUSG00000029311	chr5	104003340	104008340	-	0.0096	48
ENSMUSG00000029312	chr5	103884116	103889116	-	0.0142	71
ENSMUSG00000029313	chr5	103771348	103776348	+	0.0116	58
ENSMUSG00000029314	chr5	100869907	100874907	+	0.0096	48
ENSMUSG00000029319	chr5	100662431	100667431	-	0.012	60
ENSMUSG00000029320	chr5	103649524	103654524	-	0.0092	46
ENSMUSG00000029321	chr5	103615057	103620057	-	0.011	55
ENSMUSG00000029322	chr5	100560485	100565485	-	0.0142	71
ENSMUSG00000029326	chr5	100051872	100056872	+	0.0162	81
ENSMUSG00000029328	chr5	100034120	100039120	-	0.0274	137
ENSMUSG00000029330	chr5	101791994	101796994	+	0.0154	77
ENSMUSG00000029334	chr5	98981062	98986062	-	0.0096	48
ENSMUSG00000029335	chr5	98866905	98871905	+	0.0108	54
ENSMUSG00000029337	chr5	98263107	98268107	+	0.0132	66
ENSMUSG00000029338	chr5	97954413	97959413	-	0.0082	41
ENSMUSG00000029343	chr5	112260200	112265200	+	0.0124	62
ENSMUSG00000029344	chr5	112293526	112298526	+	0.0132	66
ENSMUSG00000029345	chr5	112329715	112334715	+	0.0222	111
ENSMUSG00000029346	chr5	112337716	112342716	-	0.0124	62
ENSMUSG00000029348	chr5	112387110	112392110	-	0.0204	102
ENSMUSG00000029352	chr5	113076211	113081211	-	0.0228	114
ENSMUSG00000029359	chr5	118042310	118047310	+	0.0164	82
ENSMUSG00000029361	chr5	117867436	117872436	+	0.0136	68
ENSMUSG00000029363	chr5	117381075	117386075	-	0.0144	72
ENSMUSG00000029364	chr5	117365452	117370452	+	0.0146	73
ENSMUSG00000029366	chr5	88771638	88776638	+	0.009	45
ENSMUSG00000029368	chr5	90466249	90471249	+	0.0082	41
ENSMUSG00000029369	chr5	90533737	90538737	+	0.0078	39
ENSMUSG00000029370	chr5	90619366	90624366	-	0.008	40
ENSMUSG00000029371	chr5	90757992	90762992	+	0.0146	73
ENSMUSG00000029372	chr5	90766790	90771790	+	0.0074	37
ENSMUSG00000029373	chr5	90770409	90775409	+	0.012	60
ENSMUSG00000029375	chr5	90796300	90801300	+	0.0032	16
ENSMUSG00000029376	chr5	90973742	90978742	+	0.0088	44
ENSMUSG00000029377	chr5	91081634	91086634	+	0.0086	43
ENSMUSG00000029378	chr5	91141515	91146515	+	0.011	55
ENSMUSG00000029379	chr5	90785351	90790351	+	0.0154	77
ENSMUSG00000029380	chr5	90889678	90894678	+	0.0164	82
ENSMUSG00000029381	chr5	92821876	92826876	+	0.009	45
ENSMUSG00000029384	chr5	93207496	93212496	+	0.0062	31
ENSMUSG00000029385	chr5	93269244	93274244	+	0.0136	68
ENSMUSG00000029387	chr5	124585910	124590910	+	0.0076	38
ENSMUSG00000029388	chr5	124572172	124577172	-	0.0142	71
ENSMUSG00000029389	chr5	124558762	124563762	+	0.014	70
ENSMUSG00000029390	chr5	124543100	124548100	+	0.0088	44
ENSMUSG00000029392	chr5	124509735	124514735	-	0.0166	83
ENSMUSG00000029394	chr5	124351749	124356749	-	0.0566	283
ENSMUSG00000029397	chr5	91953486	91958486	-	0.0068	34
ENSMUSG00000029401	chr5	124468315	124473315	-	0.012	60
ENSMUSG00000029402	chr5	124484629	124489629	+	0.0102	51
ENSMUSG00000029403	chr5	92022478	92027478	-	0.0058	29
ENSMUSG00000029404	chr5	124114642	124119642	+	0.03	150
ENSMUSG00000029405	chr5	92065432	92070432	-	0.0084	42
ENSMUSG00000029406	chr5	124181725	124186725	-	0.0146	73
ENSMUSG00000029407	chr5	92167868	92172868	+	0.0138	69
ENSMUSG00000029408	chr5	124076164	124081164	-	0.0204	102
ENSMUSG00000029409	chr5	92210150	92215150	-	0.0114	57
ENSMUSG00000029410	chr5	92238978	92243978	-	0.0172	86
ENSMUSG00000029413	chr5	92265414	92270414	-	0.0088	44
ENSMUSG00000029414	chr5	123783154	123788154	+	0.0154	77
ENSMUSG00000029415	chr5	92294744	92299744	-	0.0116	58
ENSMUSG00000029416	chr5	127611780	127616780	-	0.0116	58
ENSMUSG00000029417	chr5	92322213	92327213	-	0.0102	51
ENSMUSG00000029419	chr2	25576086	25581086	-	0.061	305
ENSMUSG00000029420	chr5	128853138	128858138	-	0.0112	56
ENSMUSG00000029422	chr5	123736420	123741420	-	0.0098	49
ENSMUSG00000029423	chr5	128726499	128731499	+	0.0124	62
ENSMUSG00000029426	chr5	92471573	92476573	-	0.0154	77
ENSMUSG00000029427	chr5	123707197	123712197	-	0.0142	71
ENSMUSG00000029428	chr5	128994065	128999065	-	0.0104	52
ENSMUSG00000029430	chr5	129019696	129024696	+	0.0458	229
ENSMUSG00000029431	chr5	123508671	123513671	+	0.019	95
ENSMUSG00000029432	chr5	129739195	129744195	+	0.0124	62
ENSMUSG00000029433	chr5	123515097	123520097	-	0.009	45
ENSMUSG00000029434	chr5	123548348	123553348	-	0.011	55
ENSMUSG00000029436	chr5	129595134	129600134	+	0.0176	88
ENSMUSG00000029437	chr5	123482323	123487323	-	0.0114	57
ENSMUSG00000029438	chr5	123356913	123361913	+	0.0164	82
ENSMUSG00000029439	chr5	129533802	129538802	+	0.0084	42
ENSMUSG00000029440	chr5	123207272	123212272	+	0.012	60
ENSMUSG00000029442	chr5	123287293	123292293	+	0.0176	88
ENSMUSG00000029445	chr5	123174767	123179767	-	0.0164	82
ENSMUSG00000029446	chr5	129774003	129779003	-	0.0108	54
ENSMUSG00000029449	chr5	123115368	123120368	-	0.0218	109
ENSMUSG00000029451	chr4	143847567	143852567	+	0.0034	17
ENSMUSG00000029452	chr5	121485538	121490538	+	0.0092	46
ENSMUSG00000029454	chr5	121532971	121537971	-	0.0094	47
ENSMUSG00000029455	chr5	121577425	121582425	-	0.0186	93
ENSMUSG00000029456	chr5	121638270	121643270	-	0.009	45
ENSMUSG00000029458	chr5	121671409	121676409	+	0.0086	43
ENSMUSG00000029461	chr7	100771645	100776645	+	0.006	30
ENSMUSG00000029462	chr5	122357176	122362176	+	0.009	45
ENSMUSG00000029463	chr5	122365972	122370972	-	0.0098	49
ENSMUSG00000029464	chr5	122374889	122379889	+	0.0118	59
ENSMUSG00000029465	chr5	122400531	122405531	+	0.0236	118
ENSMUSG00000029466	chr5	122430802	122435802	+	0.0148	74
ENSMUSG00000029467	chr5	122475369	122480369	-	0.0062	31
ENSMUSG00000029468	chr5	122665171	122670171	+	0.0152	76
ENSMUSG00000029469	chr5	122579861	122584861	-	0.0106	53
ENSMUSG00000029470	chr5	122716141	122721141	+	0.0112	56
ENSMUSG00000029471	chr5	122752789	122757789	-	0.0162	81
ENSMUSG00000029472	chr5	122801899	122806899	-	0.015	75
ENSMUSG00000029474	chr5	122858169	122863169	+	0.0066	33
ENSMUSG00000029475	chr5	122927744	122932744	-	0.0166	83
ENSMUSG00000029477	chr5	123038892	123043892	-	0.0152	76
ENSMUSG00000029478	chr5	125095686	125100686	-	0.0126	63
ENSMUSG00000029480	chr5	125421489	125426489	-	0.0142	71
ENSMUSG00000029482	chr5	125494112	125499112	+	0.0216	108
ENSMUSG00000029484	chr5	96817152	96822152	+	0.0094	47
ENSMUSG00000029486	chr5	96235610	96240610	+	0.007	35
ENSMUSG00000029490	chr5	108442472	108447472	-	0.0068	34
ENSMUSG00000029491	chr5	108407894	108412894	+	0.0052	26
ENSMUSG00000029499	chr5	110277734	110282734	-	0.0092	46
ENSMUSG00000029500	chr5	110262021	110267021	-	0.0074	37
ENSMUSG00000029501	chr5	110241327	110246327	+	0.0042	21
ENSMUSG00000029502	chr5	110199085	110204085	+	0.0168	84
ENSMUSG00000029503	chr5	110339012	110344012	-	0.0234	117
ENSMUSG00000029504	chr5	110654473	110659473	+	0.0166	83
ENSMUSG00000029505	chr5	110715045	110720045	-	0.0056	28
ENSMUSG00000029507	chr5	110774663	110779663	-	0.0158	79
ENSMUSG00000029510	chr5	138274330	138279330	-	0.018	90
ENSMUSG00000029512	chr5	110794792	110799792	-	0.0102	51
ENSMUSG00000029513	chr5	116016547	116021547	-	0.0198	99
ENSMUSG00000029516	chr5	115924612	115929612	+	0.0276	138
ENSMUSG00000029517	chr6	18870452	18875452	+	0.0046	23
ENSMUSG00000029518	chr5	115637322	115642322	+	0.017	85
ENSMUSG00000029521	chr5	110854562	110859562	+	0.0134	67
ENSMUSG00000029522	chr5	115467992	115472992	+	0.0168	84
ENSMUSG00000029524	chr5	115478867	115483867	-	0.0252	126
ENSMUSG00000029526	chr5	138560776	138565776	-	0.01	50
ENSMUSG00000029528	chr5	115528831	115533831	+	0.0218	109
ENSMUSG00000029530	chr9	123728884	123733884	+	0.0028	14
ENSMUSG00000029534	chr6	17815479	17820479	+	0.004	20
ENSMUSG00000029535	chr5	115339897	115344897	+	0.0276	138
ENSMUSG00000029536	chr5	115334708	115339708	-	0.0098	49
ENSMUSG00000029538	chr5	115327628	115332628	+	0.0266	133
ENSMUSG00000029541	chr5	139352325	139357325	+	0.021	105
ENSMUSG00000029544	chr5	115179035	115184035	-	0.0228	114
ENSMUSG00000029545	chr5	115112322	115117322	-	0.0196	98
ENSMUSG00000029546	chr5	139543336	139548336	+	0.0622	311
ENSMUSG00000029547	chr5	139760978	139765978	-	0.0242	121
ENSMUSG00000029550	chr5	115052463	115057463	+	0.0134	67
ENSMUSG00000029551	chr5	139822738	139827738	-	0.0224	112
ENSMUSG00000029552	chr6	17082988	17087988	+	0.0096	48
ENSMUSG00000029553	chr6	16863407	16868407	-	0.0052	26
ENSMUSG00000029554	chr5	140162620	140167620	-	0.0116	58
ENSMUSG00000029556	chr5	114957537	114962537	-	0.0116	58
ENSMUSG00000029557	chr5	140327286	140332286	-	0.0234	117
ENSMUSG00000029559	chr5	114943470	114948470	+	0.0178	89
ENSMUSG00000029560	chr5	140362280	140367280	-	0.0068	34
ENSMUSG00000029561	chr5	114902085	114907085	+	0.0158	79
ENSMUSG00000029563	chr6	15169163	15174163	+	0.0062	31
ENSMUSG00000029564	chr5	114866272	114871272	+	0.0142	71
ENSMUSG00000029569	chr6	13591893	13596893	-	0.0046	23
ENSMUSG00000029570	chr5	140608932	140613932	+	0.0248	124
ENSMUSG00000029571	chr6	13077014	13082014	+	0.008	40
ENSMUSG00000029575	chr5	114435047	114440047	-	0.024	120
ENSMUSG00000029576	chr5	142515468	142520468	-	0.0094	47
ENSMUSG00000029577	chr5	114398388	114403388	+	0.026	130
ENSMUSG00000029578	chr5	142646643	142651643	+	0.008	40
ENSMUSG00000029580	chr5	142902434	142907434	-	0.0406	203
ENSMUSG00000029581	chr5	142964264	142969264	+	0.0142	71
ENSMUSG00000029586	chr5	143190546	143195546	+	0.0128	64
ENSMUSG00000029587	chr5	143239498	143244498	+	0.0232	116
ENSMUSG00000029591	chr5	114132354	114137354	+	0.018	90
ENSMUSG00000029592	chr5	114092590	114097590	+	0.0066	33
ENSMUSG00000029594	chr5	120155223	120160223	+	0.0162	81
ENSMUSG00000029595	chr5	120433961	120438961	+	0.0444	222
ENSMUSG00000029596	chr5	120462998	120467998	-	0.014	70
ENSMUSG00000029597	chr5	120477729	120482729	+	0.017	85
ENSMUSG00000029598	chr5	120490953	120495953	-	0.0164	82
ENSMUSG00000029599	chr5	120618165	120623165	+	0.0224	112
ENSMUSG00000029600	chr5	120600947	120605947	-	0.0178	89
ENSMUSG00000029601	chr5	120595567	120600567	+	0.014	70
ENSMUSG00000029602	chr5	120661704	120666704	+	0.02	100
ENSMUSG00000029603	chr5	120693564	120698564	-	0.0296	148
ENSMUSG00000029605	chr5	120815899	120820899	+	0.0106	53
ENSMUSG00000029607	chr5	143891713	143896713	-	0.0112	56
ENSMUSG00000029608	chr5	120972795	120977795	-	0.0142	71
ENSMUSG00000029610	chr5	143903775	143908775	-	0.0122	61
ENSMUSG00000029613	chr5	143858519	143863519	+	0	0
ENSMUSG00000029614	chr5	121204361	121209361	+	0.0214	107
ENSMUSG00000029616	chr5	121438048	121443048	-	0.0114	57
ENSMUSG00000029617	chr5	143998893	144003893	-	0.0136	68
ENSMUSG00000029618	chr5	144020737	144025737	-	0.0132	66
ENSMUSG00000029620	chr5	145041835	145046835	+	0.0074	37
ENSMUSG00000029621	chr5	145093795	145098795	+	0.0112	56
ENSMUSG00000029622	chr5	145119960	145124960	+	0.0228	114
ENSMUSG00000029623	chr5	145132003	145137003	-	0.0094	47
ENSMUSG00000029624	chr5	145154811	145159811	-	0.009	45
ENSMUSG00000029625	chr5	145172127	145177127	+	0.0112	56
ENSMUSG00000029627	chr5	145195907	145200907	-	0.0102	51
ENSMUSG00000029629	chr6	11992007	11997007	+	0.0066	33
ENSMUSG00000029630	chr5	145990906	145995906	-	0.0032	16
ENSMUSG00000029632	chr6	11901394	11906394	-	0.005	25
ENSMUSG00000029634	chr5	146212873	146217873	-	0.006	30
ENSMUSG00000029635	chr5	146264552	146269552	+	0.0102	51
ENSMUSG00000029636	chr5	146426800	146431800	+	0.0114	57
ENSMUSG00000029638	chr6	8551074	8556074	+	0.0044	22
ENSMUSG00000029640	chr5	146762407	146767407	-	0.013	65
ENSMUSG00000029641	chr5	146843898	146848898	+	0.0244	122
ENSMUSG00000029642	chr5	147091823	147096823	+	0.0116	58
ENSMUSG00000029644	chr5	147270403	147275403	+	0.0286	143
ENSMUSG00000029646	chr5	147301537	147306537	-	0.0366	183
ENSMUSG00000029647	chr5	147486831	147491831	+	0.009	45
ENSMUSG00000029648	chr5	147641307	147646307	-	0.0146	73
ENSMUSG00000029649	chr5	147865958	147870958	+	0.0126	63
ENSMUSG00000029650	chr5	147884126	147889126	-	0.0132	66
ENSMUSG00000029651	chr5	148134192	148139192	+	0.0102	51
ENSMUSG00000029655	chr5	150634595	150639595	-	0.005	25
ENSMUSG00000029656	chr4	104782932	104787932	+	0.0078	39
ENSMUSG00000029657	chr5	149622831	149627831	-	0.011	55
ENSMUSG00000029658	chr5	149567786	149572786	+	0.0134	67
ENSMUSG00000029659	chr5	149419236	149424236	+	0.0102	51
ENSMUSG00000029660	chr5	149452819	149457819	+	0.0112	56
ENSMUSG00000029661	chr6	4520679	4525679	+	0.0084	42
ENSMUSG00000029663	chr6	3993114	3998114	+	0.007	35
ENSMUSG00000029664	chr6	3973257	3978257	-	0.0062	31
ENSMUSG00000029669	chr6	21809455	21814455	-	0.0082	41
ENSMUSG00000029670	chr6	21960304	21965304	+	0.0038	19
ENSMUSG00000029671	chr6	22290874	22295874	+	0.0118	59
ENSMUSG00000029672	chr6	22328881	22333881	-	0.0126	63
ENSMUSG00000029673	chr5	131987838	131992838	-	0.0088	44
ENSMUSG00000029674	chr5	134669818	134674818	-	0.0164	82
ENSMUSG00000029675	chr5	134722458	134727458	-	0.0072	36
ENSMUSG00000029676	chr6	25773991	25778991	-	0.0092	46
ENSMUSG00000029678	chr6	24872477	24877477	+	0.0038	19
ENSMUSG00000029679	chr6	24736848	24741848	+	0.004	20
ENSMUSG00000029680	chr6	24755495	24760495	+	0.006	30
ENSMUSG00000029681	chr5	135172569	135177569	+	0.0112	56
ENSMUSG00000029682	chr6	24793618	24798618	+	0.0074	37
ENSMUSG00000029683	chr6	24599088	24604088	+	0.0128	64
ENSMUSG00000029684	chr6	24636907	24641907	-	0.0068	34
ENSMUSG00000029685	chr6	24548154	24553154	+	0.0084	42
ENSMUSG00000029686	chr6	47487268	47492268	+	0.0042	21
ENSMUSG00000029687	chr6	47560240	47565240	-	0.0046	23
ENSMUSG00000029695	chr6	23100079	23105079	-	0.0062	31
ENSMUSG00000029697	chr6	23244203	23249203	-	0.0372	186
ENSMUSG00000029699	chr5	135964871	135969871	-	0.0204	102
ENSMUSG00000029700	chr6	24125687	24130687	-	0.0046	23
ENSMUSG00000029701	chr6	29141791	29146791	-	0.013	65
ENSMUSG00000029703	chr5	136126923	136131923	-	0.0212	106
ENSMUSG00000029705	chr5	136405312	136410312	-	0.007	35
ENSMUSG00000029706	chr6	28443343	28448343	-	0.0116	58
ENSMUSG00000029707	chr6	28430705	28435705	+	0.0142	71
ENSMUSG00000029708	chr6	28419740	28424740	-	0.038	190
ENSMUSG00000029710	chr5	137361889	137366889	+	0.0196	98
ENSMUSG00000029711	chr5	137505631	137510631	-	0.0234	117
ENSMUSG00000029712	chr5	137559049	137564049	+	0.0116	58
ENSMUSG00000029713	chr5	137528318	137533318	-	0.0406	203
ENSMUSG00000029714	chr5	137520741	137525741	+	0.0256	128
ENSMUSG00000029715	chr5	137499478	137504478	-	0.0298	149
ENSMUSG00000029716	chr5	137576160	137581160	+	0.0106	53
